display_date,equity
2026-05-05,98848.87
2026-05-06,99180.06
2026-05-07,98496.54
2026-05-08,99646.7
2026-05-11,98490.94
2026-05-12,97157.22
2026-05-13,97950.69
2026-05-14,97924.21
2026-05-15,98021.42
2026-05-18,97129.89
2026-05-19,97116.89
2026-05-20,97789.25
2026-05-21,98368.25
2026-05-25,98756.87
2026-05-26,98603.5
2026-05-27,98119.02
2026-05-28,98138.84
